date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:50:28	155639/155639	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202022%2021:07:27%20GMT	https://formularosadodeserto.site/wp-content/uploads/2022/12/1093042P1.jpg	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/uploads/2022/12/1093042P1.jpg	(from https://formularosadodeserto.site/vsl/)
20:50:28	49086/49086	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202022%2020:58:09%20GMT	https://formularosadodeserto.site/wp-content/uploads/2022/12/1153954P1.jpg	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/uploads/2022/12/1153954P1.jpg	(from https://formularosadodeserto.site/vsl/)
20:50:28	83441/83441	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202022%2021:02:25%20GMT	https://formularosadodeserto.site/wp-content/uploads/2022/12/1153136P1.jpg	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/uploads/2022/12/1153136P1.jpg	(from https://formularosadodeserto.site/vsl/)
20:50:29	18468/18468	---M-Z	200	added ('OK')	text/css	date:Sat,%2012%20Nov%202022%2019:23:14%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.7.0	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor/assets/lib/animations/animations.min3088.css	(from https://formularosadodeserto.site/vsl/)
20:50:29	115818/115818	---M--	200	added ('OK')	image/jpeg	date:Mon,%2026%20Dec%202022%2021:06:21%20GMT	https://formularosadodeserto.site/wp-content/uploads/2022/12/1094710P1.jpg	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/uploads/2022/12/1094710P1.jpg	(from https://formularosadodeserto.site/vsl/)
20:50:29	5125/5125	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:24:29%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min.js?ver=3.7.3	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor-pro/assets/js/webpack-pro.runtime.min1ac1.js	(from https://formularosadodeserto.site/vsl/)
20:50:29	4960/4960	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:23:15%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor/assets/js/webpack.runtime.min.js?ver=3.7.0	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor/assets/js/webpack.runtime.min3088.js	(from https://formularosadodeserto.site/vsl/)
20:50:30	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2017:36:06%20GMT	https://formularosadodeserto.site/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://formularosadodeserto.site/vsl/)
20:50:30	89684/89684	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2019%20Sep%202022%2022:46:24%20GMT	https://formularosadodeserto.site/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/jquery/jquery.mina7a0.js	(from https://formularosadodeserto.site/vsl/)
20:50:30	14277/14277	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:23:15%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor/assets/js/frontend-modules.min.js?ver=3.7.0	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor/assets/js/frontend-modules.min3088.js	(from https://formularosadodeserto.site/vsl/)
20:50:30	6475/6475	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2020:34:30%20GMT	https://formularosadodeserto.site/wp-includes/js/dist/vendor/regenerator-runtime.min.js?ver=0.13.9	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/dist/vendor/regenerator-runtime.min3937.js	(from https://formularosadodeserto.site/vsl/)
20:50:30	17823/17823	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2021%20Sep%202022%2000:13:30%20GMT	https://formularosadodeserto.site/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/dist/vendor/wp-polyfill.min2c7c.js	(from https://formularosadodeserto.site/vsl/)
20:50:30	4910/4910	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2020:34:30%20GMT	https://formularosadodeserto.site/wp-includes/js/dist/hooks.min.js?ver=4169d3cf8e8d95a3d6d5	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/dist/hooks.min6c65.js	(from https://formularosadodeserto.site/vsl/)
20:50:31	10230/10230	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Sep%202022%2004:25:30%20GMT	https://formularosadodeserto.site/wp-includes/js/dist/i18n.min.js?ver=9e794f35a71bb98672ae	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/dist/i18n.mine57b.js	(from https://formularosadodeserto.site/vsl/)
20:50:31	20415/20415	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:24:29%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor-pro/assets/js/frontend.min.js?ver=3.7.3	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor-pro/assets/js/frontend.min1ac1.js	(from https://formularosadodeserto.site/vsl/)
20:50:31	12198/12198	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:23:14%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://formularosadodeserto.site/vsl/)
20:50:31	21440/21440	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2024%20Sep%202022%2004:25:30%20GMT	https://formularosadodeserto.site/wp-includes/js/jquery/ui/core.min.js?ver=1.13.2	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-includes/js/jquery/ui/core.min3f14.js	(from https://formularosadodeserto.site/vsl/)
20:50:31	37674/37674	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:23:15%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.7.0	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor/assets/js/frontend.min3088.js	(from https://formularosadodeserto.site/vsl/)
20:50:32	24213/24213	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2012%20Nov%202022%2019:24:29%20GMT	https://formularosadodeserto.site/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.7.3	C:/Users/corew/Desktop/site%20clonado/s/formularosadodeserto.site/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min1ac1.js	(from https://formularosadodeserto.site/vsl/)
